"lemma","présent","passécomposé","futur","subjonctif"
"percevoir","je perçois, nous percevons","j’ai perçu","je percevrai","que je perçoive, que nous percevions"
"rendre","je rends, nous rendons","j`ai rendu","je rendrai","que je rende"
"défendre","je défends, nous défendons","j`ai défendu","je défendrai","que je défende"
"descendre","je descends, nous descendons","j`ai descendu/je suis descendu","je descendrai","que je descende"
"condescendre","je condescends, nous condescendons","j`ai condescendu","je condescendrai","que je condescende"
"fendre","je fends, nous fendons","j`ai fendu","je fendrai","que je fende"
"pourfendre","je pourfends, nous pourfendons","j`ai pourfendu","je pourfendrai","que je pourfende"
"refendre","je refends, nous refendons","j`ai refendu","je refendrai","que je refende"
"dépendre","je dépends, nous dépendons","j`ai dépendu","je dépendrai","que je dépende"
"suspendre","je suspends, nous suspendons","j`ai suspendu","je suspendrai","que je suspende"
"tendre","je tends, nous tendons","j`ai tendu","je tendrai","que je tende"
"attendre","j`attends, nous attendons","j`ai attendu","j`attendrai","que j`attende"
"détendre","je détends, nous détendons","j`ai détendu","je détendrai","que je détende"
"distendre","je distends, nous distendons","j`ai distendu","je distendrai","que je distende"
"entendre","j`entends, nous entendons","j`ai entendu","j`entendrai","que j`entende"
"étendre","j`étends, nous étendons","j`ai étendu","j`étendrai","que j`étende"
"prétendre","je prétends, nous prétendons","j`ai prétendu","je prétendrai","que je prétende"
"retendre","je retends, nous retendons","j`ai retendu","je retendrai","que je retende"
"sous-entendre","je sous-entends, nous sous-entendons","j`ai sous-entendu","je sous-entendrai","que je sous-entende"
"sous-tendre","je sous-tends, nous sous-tendons","j`ai sous-tendu","je sous-tendrai","que je sous-tende"
"vendre","je vends, nous vendons","j`ai vendu","je vendrai","que je vende"
"mévendre","je mévends, nous mévendons","j`ai mévendu","je mévendrai","que je mévende"
"épandre","j`épands, nous épandons","j`ai épandu","j`épandrai","que j`épande"
"répandre","je répands, nous répandons","j`ai répandu","je répandrai","que je répande"
"fondre","je fonds","j`ai fondu","je fondrai","que je fonde"
"confondre","je confonds","j`ai confondu","je confondrai","que je confonde"
"parfondre","je parfonds","j`ai parfondu","je parfondrai","que je parfonde"
"refondre","je refonds","j`ai refondu","je refondrai","que je refonde"
"pondre","je ponds","j`ai pondu","je pondrai","que je ponde"
"répondre","je réponds","j`ai répondu","je répondrai","que je réponde"
"correspondre","je corresponds","j`ai correspondu","je correspondrai","que je corresponde"
"tondre","je tonds","j`ai tondu","je tondrai","que je tonde"
"perdre","je perds","j`ai perdu","je perdrai","que je perde"
"reperdre","je reperds","j`ai reperdu","je reperdrai","que je reperde"
"mordre","je mords","j`ai mordu","je mordrai","que je morde"
"démordre","je démords","j`ai démordu","je démordrai","que je démorde"
"remordre","je remords","j`ai remordu","je remordrai","que je remorde"
"tordre","je tords","j`ai tordu","je tordrai","que je torde"
"détordre","je détords","j`ai détordu","je détordrai","que je détorde"
"distordre","je distords","j`ai distordu","je distordrai","que je distorde"
"retordre","je retords","j`ai retordu","je retordrai","que je retorde"
"rompre","je romps","j`ai rompu","je romprai","que je rompe"
"corrompre","je corromps","j`ai corrompu","je corromprai","que je corrompe"
"interrompre","j`interromps","j`ai interrompu","j`interromprai","que j`interrompe"
"foutre","je fous, nous foutons","j`ai foutu","je foutrai","que je foute"
"se contrefoutre","je me contrefous, nous nous contrefoutons","je me suis contrefoutu","je me contrefoutrai","que je me contrefoute"
"rire","je ris ","j’ai ri","je rirai","que je rie, que nous riions"
